date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,premium_target_pct,target_delta,prev_rvol,overnight,overnight_move_pct,gate_decision
2026-05-18,flat,points,sell,1,STRIKE_UNAVAILABLE,1779075000,76869.5000,78800,75600,78800,78800,0,74800,75600,800,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,flat,points,sell,0,,1779161400,76761.0000,78800,74800,78800,78800,0,74800,74800,0,1,1,2.922863,4.452508,2.757323,4.200335,100,0.028735,0.041771,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,0.695766,0.695766,0.667031,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,flat,points,sell,0,,1779247800,76722.0000,78800,74800,78800,78800,0,74800,74800,0,1,1,0.983925,2.625349,0.928199,2.476659,100,0.014062,0.020442,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,0.340486,0.340486,0.326424,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,flat,points,sell,0,,1779334200,78000.0000,80000,76000,80000,80000,0,76000,76000,0,1,1,1.870726,1.532526,1.764775,1.445730,100,0.013259,0.019275,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,0.000000,0.000000,0.321050,0.321050,0.307791,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,flat,points,sell,0,,1779420600,77720.5000,80000,75800,79800,80000,200,75800,75800,0,1,1,0.802350,1.881671,0.756908,1.775100,100,0.010457,0.015201,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,0.253201,0.253201,0.242744,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,flat,points,sell,0,,1779679800,77047.5000,78800,75000,79000,78800,200,75000,75000,0,1,1,6.725626,5.203475,6.344711,4.908769,100,0.046477,0.067562,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,1.125348,1.125348,1.078871,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,flat,points,sell,0,,1779766200,76534.0000,78600,74600,78600,78600,0,74600,74600,0,1,1,3.222627,3.084093,3.040109,2.909421,100,0.024572,0.035719,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,0.594953,0.594953,0.570381,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,flat,points,sell,0,,1779852600,75826.5000,77800,74000,77800,77800,0,73800,74000,200,1,1,1.972840,2.154860,1.861106,2.032817,100,0.016082,0.023378,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,0.389392,0.389392,0.373310,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
2026-05-28,flat,points,sell,1,STRIKE_UNAVAILABLE,1779939000,73668.5000,75600,72800,75600,75600,0,71600,72800,1200,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546875,6,0.9000,0.034000,0.1200,0.00031829,0.02733730,2.733730,sell
2026-05-29,flat,points,sell,0,,1780025400,73370.0000,75400,71600,75400,75400,0,71400,71600,200,1,1,2.895389,4.435604,2.731405,4.184388,100,0.028562,0.041520,0.000000,0.000000,1780056000,73448.0000,17:30,0.000000,0.000000,0.000000,0.691579,0.691579,0.663017,0.423077,5,0.9000,0.034000,0.1200,0.00054812,0.00159212,0.159212,sell
