date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,prev_rvol,overnight,overnight_move_pct,gate_decision
2025-11-18,none,points,sell,1,CHAIN_ONE_SIDED,1763436600,89781.0000,0,0,91800,0,0,87800,0,0,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.830357,9,0.9000,0.00048263,0.06028334,6.028334,sell
2025-11-19,none,points,sell,0,,1763523000,92217.0000,94200,90200,94200,94200,0,90200,90200,0,1,1,24.364844,76.899614,22.984908,72.544302,100,0.394536,0.573525,0.000000,0.000000,1763553600,91408.0000,17:30,0.000000,0.000000,0.000000,9.552921,9.552921,9.158385,0.666667,7,0.9000,0.00080289,0.00803437,0.803437,sell
2025-11-20,none,points,sell,0,,1763609400,92419.0000,94400,90400,94400,94400,0,90400,90400,0,1,1,64.446228,31.217808,60.796230,29.449746,100,0.372716,0.541806,0.000000,0.000000,1763640000,91885.5000,17:30,0.000000,0.000000,0.000000,9.024598,9.024598,8.651882,0.689655,7,0.9000,0.00061263,0.01135904,1.135904,sell
2025-11-21,none,points,sell,1,STRIKE_UNAVAILABLE,1763695800,85784.0000,87800,84800,87800,87800,0,83800,84800,1000,0,0,0.000000,0.000000,0.000000,0.000000,100,0.000000,0.000000,0.000000,0.000000,0,0.0000,00:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864407,9,0.9000,0.00054800,0.06657091,6.657091,sell
2025-11-24,none,points,sell,0,,1763955000,87533.5000,89600,85600,89600,89600,0,85600,85600,0,1,1,71.796048,78.406254,67.729783,73.965612,100,0.585202,0.850691,0.000000,0.000000,1763985600,86164.0000,17:30,0.000000,0.000000,0.000000,14.169539,14.169539,13.584337,0.691667,7,0.9000,0.00051950,0.01431079,1.431079,sell
2025-11-25,none,points,sell,0,,1764041400,87864.5000,89800,85800,89800,89800,0,85800,85800,0,1,1,18.940406,35.664541,17.867691,33.644632,100,0.212746,0.309262,0.000000,0.000000,1764072000,87325.5000,17:30,0.000000,0.000000,0.000000,5.151232,5.151232,4.938486,0.836066,9,0.9000,0.00070204,0.01881334,1.881334,sell
2025-11-26,none,points,sell,0,,1764127800,87749.5000,89800,85800,89800,89800,0,85800,85800,0,1,1,13.542711,11.462736,12.775702,10.813529,100,0.097424,0.141622,0.000000,0.000000,1764158400,87093.0000,17:30,0.000000,0.000000,0.000000,2.358923,2.358923,2.261500,0.395161,4,0.9000,0.00044553,0.00491869,0.491869,sell
2025-11-27,none,points,sell,0,,1764214200,91212.5000,93200,89200,93200,93200,0,89200,89200,0,1,1,85.429748,22.244414,80.591321,20.984572,100,0.419508,0.609827,0.000000,0.000000,1764244800,91342.0000,17:30,0.000000,0.000000,0.000000,10.157589,10.157589,9.738081,0.753968,8,0.9000,0.00042620,0.04772106,4.772106,sell
2025-11-28,none,points,sell,0,,1764300600,91181.5000,93200,89200,93200,93200,0,89200,89200,0,1,1,14.422813,16.910954,13.605958,15.953180,100,0.122079,0.177463,0.000000,0.000000,1764331200,91403.0000,17:30,0.000000,0.000000,0.000000,2.955914,2.955914,2.833835,0.281250,3,0.9000,0.00040444,0.00177353,0.177353,sell
2025-11-03,flat,points,sell,0,,1762140600,108043.0000,110000,106000,110000,110000,0,106000,106000,0,1,1,84.616088,189.825485,79.823743,187.569229,100,1.104333,0.704860,0.000000,0.000000,1762171200,107759.5000,17:30,0.000000,0.000000,0.000000,26.739297,26.739297,25.634964,0.655556,7,0.9000,0.00032237,0.02801443,2.801443,sell
