OPTION MARK DOWNLOADER — DRY RUN
================================================================================
--months=24  --dry-run (NO candle download)
--tail-days=5
contract life assumption (short unk.): 10d before 12:00 UTC settle
short-dated if life <= 14d → last 5d only
longer life (monthlies) → full listing life
strike band: entry_spot ± 6000

lookback range UTC: 2024-09-15 13:13:22+00:00 -> 2026-09-16 01:13:22+00:00

products page=43 rows=500 persisted=500 new=500 unique_so_far=21500 oldest=2025-12-27 newest=2026-03-27 total_count=10000
products page=44 rows=500 persisted=500 new=500 unique_so_far=22000 oldest=2025-12-21 newest=2026-03-27 total_count=10000
products page=45 rows=500 persisted=500 new=500 unique_so_far=22500 oldest=2025-12-16 newest=2026-01-09 total_count=10000
products page=46 rows=500 persisted=500 new=500 unique_so_far=23000 oldest=2025-12-11 newest=2026-01-02 total_count=10000
products page=47 rows=500 persisted=500 new=500 unique_so_far=23500 oldest=2025-12-06 newest=2025-12-26 total_count=10000
products page=48 rows=500 persisted=500 new=500 unique_so_far=24000 oldest=2025-12-01 newest=2026-02-27 total_count=10000
products page=49 rows=500 persisted=500 new=500 unique_so_far=24500 oldest=2025-11-27 newest=2026-02-27 total_count=10000
products page=50 rows=500 persisted=500 new=500 unique_so_far=25000 oldest=2025-11-24 newest=2025-12-12 total_count=10000
products page=51 rows=500 persisted=500 new=500 unique_so_far=25500 oldest=2025-11-20 newest=2026-01-30 total_count=10000
products page=52 rows=500 persisted=500 new=500 unique_so_far=26000 oldest=2025-11-16 newest=2026-01-30 total_count=10000
products page=53 rows=500 persisted=500 new=500 unique_so_far=26500 oldest=2025-11-13 newest=2026-01-30 total_count=10000
products page=54 rows=500 persisted=500 new=500 unique_so_far=27000 oldest=2025-11-08 newest=2025-11-28 total_count=10000
products page=55 rows=500 persisted=500 new=500 unique_so_far=27500 oldest=2025-11-04 newest=2025-12-26 total_count=10000
products page=56 rows=500 persisted=500 new=500 unique_so_far=28000 oldest=2025-11-02 newest=2025-12-26 total_count=10000
products page=57 rows=500 persisted=500 new=500 unique_so_far=28500 oldest=2025-10-27 newest=2025-12-26 total_count=10000
products page=58 rows=500 persisted=500 new=500 unique_so_far=29000 oldest=2025-10-22 newest=2025-11-14 total_count=10000
products page=59 rows=500 persisted=500 new=500 unique_so_far=29500 oldest=2025-10-17 newest=2025-11-07 total_count=10000
products page=60 rows=500 persisted=500 new=500 unique_so_far=30000 oldest=2025-10-14 newest=2025-11-28 total_count=10000
products page=61 rows=500 persisted=500 new=500 unique_so_far=30500 oldest=2025-10-11 newest=2025-11-28 total_count=10000
products page=62 rows=500 persisted=500 new=500 unique_so_far=31000 oldest=2025-10-07 newest=2025-10-31 total_count=10000
products page=63 rows=500 persisted=500 new=500 unique_so_far=31500 oldest=2025-10-03 newest=2025-11-28 total_count=10000
products page=64 rows=500 persisted=500 new=500 unique_so_far=32000 oldest=2025-09-29 newest=2025-11-28 total_count=10000
products page=65 rows=500 persisted=500 new=500 unique_so_far=32500 oldest=2025-09-23 newest=2025-11-28 total_count=10000
products page=66 rows=500 persisted=500 new=500 unique_so_far=33000 oldest=2025-09-17 newest=2025-10-31 total_count=10000
products page=67 rows=500 persisted=500 new=500 unique_so_far=33500 oldest=2025-09-11 newest=2025-10-31 total_count=10000
products page=68 rows=500 persisted=500 new=500 unique_so_far=34000 oldest=2025-09-03 newest=2025-10-31 total_count=10000
products page=69 rows=500 persisted=500 new=500 unique_so_far=34500 oldest=2025-08-30 newest=2025-10-31 total_count=10000
products page=70 rows=500 persisted=500 new=500 unique_so_far=35000 oldest=2025-08-25 newest=2025-10-31 total_count=10000
products page=71 rows=500 persisted=500 new=500 unique_so_far=35500 oldest=2025-08-19 newest=2025-09-12 total_count=10000
products page=72 rows=500 persisted=500 new=500 unique_so_far=36000 oldest=2025-08-14 newest=2025-09-26 total_count=10000
products page=73 rows=500 persisted=500 new=500 unique_so_far=36500 oldest=2025-08-09 newest=2025-08-29 total_count=10000
products page=74 rows=500 persisted=500 new=500 unique_so_far=37000 oldest=2025-08-02 newest=2025-09-26 total_count=10000
products page=75 rows=500 persisted=500 new=500 unique_so_far=37500 oldest=2025-07-28 newest=2025-09-26 total_count=10000
products page=76 rows=500 persisted=500 new=500 unique_so_far=38000 oldest=2025-07-22 newest=2025-09-26 total_count=10000
products page=77 rows=500 persisted=500 new=500 unique_so_far=38500 oldest=2025-07-18 newest=2025-08-08 total_count=10000
products page=78 rows=500 persisted=500 new=500 unique_so_far=39000 oldest=2025-07-13 newest=2025-08-29 total_count=10000
products page=79 rows=500 persisted=500 new=500 unique_so_far=39500 oldest=2025-07-10 newest=2025-08-29 total_count=10000
products page=80 rows=500 persisted=500 new=500 unique_so_far=40000 oldest=2025-07-02 newest=2025-08-29 total_count=10000
products page=81 rows=500 persisted=500 new=500 unique_so_far=40500 oldest=2025-06-26 newest=2025-08-29 total_count=10000
products page=82 rows=500 persisted=500 new=500 unique_so_far=41000 oldest=2025-06-21 newest=2025-07-25 total_count=10000
products page=83 rows=500 persisted=500 new=500 unique_so_far=41500 oldest=2025-06-16 newest=2025-07-11 total_count=10000
products page=84 rows=500 persisted=500 new=500 unique_so_far=42000 oldest=2025-06-10 newest=2025-07-25 total_count=10000
products page=85 rows=500 persisted=500 new=500 unique_so_far=42500 oldest=2025-06-06 newest=2025-07-25 total_count=10000
products page=86 rows=500 persisted=500 new=500 unique_so_far=43000 oldest=2025-05-30 newest=2025-07-25 total_count=10000
products page=87 rows=500 persisted=500 new=500 unique_so_far=43500 oldest=2025-05-25 newest=2025-06-13 total_count=10000
products page=88 rows=500 persisted=500 new=500 unique_so_far=44000 oldest=2025-05-20 newest=2025-06-27 total_count=10000
products page=89 rows=500 persisted=500 new=500 unique_so_far=44500 oldest=2025-05-16 newest=2025-06-06 total_count=10000
products page=90 rows=500 persisted=500 new=500 unique_so_far=45000 oldest=2025-05-09 newest=2025-06-27 total_count=10000
products page=91 rows=500 persisted=500 new=500 unique_so_far=45500 oldest=2025-05-03 newest=2025-06-27 total_count=10000
products page=92 rows=500 persisted=500 new=500 unique_so_far=46000 oldest=2025-04-28 newest=2025-06-27 total_count=10000
products page=93 rows=500 persisted=500 new=500 unique_so_far=46500 oldest=2025-04-23 newest=2025-06-27 total_count=10000
products page=94 rows=500 persisted=500 new=500 unique_so_far=47000 oldest=2025-04-18 newest=2025-05-09 total_count=10000
products page=95 rows=500 persisted=500 new=500 unique_so_far=47500 oldest=2025-04-11 newest=2025-05-02 total_count=10000
products page=96 rows=500 persisted=500 new=500 unique_so_far=48000 oldest=2025-04-07 newest=2025-05-30 total_count=10000
products page=97 rows=500 persisted=500 new=500 unique_so_far=48500 oldest=2025-04-02 newest=2025-05-30 total_count=10000
products page=98 rows=500 persisted=500 new=500 unique_so_far=49000 oldest=2025-03-29 newest=2025-05-30 total_count=10000
products page=99 rows=500 persisted=500 new=500 unique_so_far=49500 oldest=2025-03-22 newest=2025-05-30 total_count=10000
products page=100 rows=500 persisted=500 new=500 unique_so_far=50000 oldest=2025-03-17 newest=2025-04-11 total_count=10000
products page=101 rows=500 persisted=500 new=500 unique_so_far=50500 oldest=2025-03-11 newest=2025-04-25 total_count=10000
products page=102 rows=500 persisted=500 new=500 unique_so_far=51000 oldest=2025-03-08 newest=2025-04-25 total_count=10000
products page=103 rows=500 persisted=500 new=500 unique_so_far=51500 oldest=2025-03-04 newest=2025-04-25 total_count=10000
products page=104 rows=500 persisted=500 new=500 unique_so_far=52000 oldest=2025-03-02 newest=2025-04-25 total_count=10000
products page=105 rows=500 persisted=500 new=500 unique_so_far=52500 oldest=2025-02-27 newest=2025-04-25 total_count=10000
products page=106 rows=500 persisted=500 new=500 unique_so_far=53000 oldest=2025-02-25 newest=2025-03-28 total_count=10000
products page=107 rows=500 persisted=500 new=500 unique_so_far=53500 oldest=2025-02-18 newest=2025-03-14 total_count=10000
products page=108 rows=500 persisted=500 new=500 unique_so_far=54000 oldest=2025-02-12 newest=2025-03-07 total_count=10000
products page=109 rows=500 persisted=500 new=500 unique_so_far=54500 oldest=2025-02-06 newest=2025-02-13 total_count=10000
