time_of_day,dte,strike_mode,adjustment_setting,wing,fill_package,n,mean,median,ci_lo,ci_hi,p5,worst,worst_date,sortino_per_cycle,mdd,surf_wing_pct
13:00,1,A50,none,OFF,taker,386,0.123445,0.406489,-0.055547,0.279228,-1.863785,-18.010632,2025-10-10,0.076247,30.960544,0.00
13:00,0,A300,none,1500,taker,386,0.097406,0.409017,-0.062969,0.249202,-3.171624,-11.428293,2025-11-21,0.076134,23.919077,9.84
13:00,0,B10,none,OFF,taker,386,0.065900,0.297462,-0.032272,0.157101,-1.639135,-5.820018,2025-10-01,0.075791,19.083893,0.00
15:00,0,B20,none,2000,taker,385,0.062435,0.323042,-0.036293,0.152760,-1.880313,-6.447383,2026-02-27,0.075765,21.230466,19.22
13:00,0,B25,none,1500,taker,386,0.093303,0.487855,-0.054951,0.229098,-2.711540,-11.766044,2025-11-21,0.075757,20.361879,11.66
13:00,0,A200,none,3000,taker,384,0.098702,0.457024,-0.060970,0.249305,-2.773555,-9.617390,2025-11-21,0.075524,26.665551,30.21
13:00,3,B10,none,OFF,taker,19,0.327112,1.530085,-2.033383,1.746035,-3.631179,-18.795266,2026-06-02,0.075394,18.795266,0.00
13:00,0,B30,none,3000,taker,385,0.100434,0.459934,-0.060640,0.250638,-2.718197,-12.101070,2025-11-21,0.075282,25.073838,32.99
13:00,0,A300,none,OFF,maker,386,0.098300,0.381343,-0.070284,0.258191,-3.198839,-7.183472,2025-10-01,0.075026,28.257758,0.00
15:00,0,A200,none,4000,maker,376,0.067198,0.353713,-0.047455,0.176304,-1.963605,-6.142933,2026-02-27,0.074170,26.688297,38.30
13:00,0,B20,none,3000,taker,382,0.086896,0.445417,-0.047117,0.214636,-2.431179,-9.617390,2025-11-21,0.073966,23.330915,32.20
13:00,0,A100,none,OFF,taker,386,0.077858,0.623155,-0.048115,0.196004,-2.357370,-6.273736,2025-10-01,0.073171,24.491698,0.00
13:00,2,A50,none,OFF,taker,385,0.202225,0.778464,-0.115800,0.488424,-6.055140,-23.409750,2025-10-09,0.072358,58.882834,0.00
11:00,0,A300,none,1500,taker,381,0.097342,0.611707,-0.070972,0.262140,-3.988476,-5.095637,2025-10-26,0.071957,34.783960,7.61
13:00,0,B20,none,1500,taker,386,0.081295,0.445188,-0.052946,0.204763,-2.397905,-9.675703,2025-11-21,0.071719,20.674794,12.69
15:00,0,B30,none,OFF,maker,386,0.065980,0.373893,-0.046020,0.171756,-1.946823,-6.459972,2026-02-27,0.071520,23.241979,0.00
13:00,0,A200,none,2000,taker,386,0.092143,0.452067,-0.062151,0.239766,-2.776679,-9.629886,2025-11-21,0.071415,26.837128,14.25
13:00,0,A300,none,3000,taker,385,0.099538,0.417312,-0.075366,0.265092,-3.134546,-12.101070,2025-11-21,0.071383,28.139565,30.65
15:00,0,B40,none,3000,taker,378,0.068193,0.381160,-0.052861,0.185801,-1.971616,-6.948024,2025-12-29,0.071231,27.707931,28.31
13:00,0,B20,none,2000,taker,386,0.082912,0.448896,-0.054446,0.209417,-2.394701,-9.629886,2025-11-21,0.070736,22.777656,20.47
11:00,0,B40,none,2000,taker,381,0.103992,0.595922,-0.088131,0.287754,-4.073427,-6.282562,2025-10-01,0.070451,37.797334,13.65
13:00,0,B30,none,2000,taker,386,0.093619,0.460712,-0.068697,0.243493,-2.723935,-12.117730,2025-11-21,0.070302,24.944592,18.39
13:00,0,B40,none,2000,taker,386,0.095449,0.428396,-0.076364,0.258319,-2.880454,-12.353052,2025-11-21,0.070153,28.355235,12.69
11:00,0,A300,none,OFF,taker,381,0.116089,0.671431,-0.093345,0.310574,-3.966937,-10.821415,2025-11-21,0.070151,38.872459,0.00
15:00,0,A300,none,4000,maker,375,0.065566,0.347776,-0.052649,0.177201,-1.964747,-6.784468,2026-03-23,0.070050,24.984664,38.67
15:00,0,B40,none,1000,maker,386,0.053972,0.344561,-0.040729,0.148426,-2.027229,-3.502467,2026-02-27,0.070004,20.957582,0.26
13:00,1,A50,none,OFF,maker,386,0.113094,0.408406,-0.074273,0.268547,-2.161957,-18.075824,2025-10-10,0.069581,30.955187,0.00
11:00,0,B30,none,OFF,taker,381,0.110137,0.612412,-0.084059,0.297553,-3.904270,-10.821415,2025-11-21,0.069368,36.408069,0.00
13:00,0,B40,none,OFF,maker,386,0.090764,0.381343,-0.073090,0.251035,-3.188559,-7.560438,2025-11-21,0.069335,29.795383,0.00
15:00,0,B40,none,2000,maker,385,0.064343,0.359999,-0.050568,0.176127,-1.979341,-6.460805,2026-02-27,0.068817,25.396302,14.55
13:00,0,A300,none,2000,taker,386,0.093856,0.411888,-0.079533,0.248008,-3.138823,-12.117730,2025-11-21,0.068567,27.597274,13.99
15:00,0,A150,none,1500,maker,386,0.061177,0.370851,-0.047747,0.164048,-1.977219,-5.578348,2026-02-27,0.068060,24.706830,10.36
13:00,2,A50,none,OFF,maker,385,0.189985,0.770795,-0.126938,0.476595,-6.055140,-23.409750,2025-10-09,0.067861,58.935695,0.00
13:00,3,B10,none,1500,taker,18,0.101442,0.787312,-0.768552,0.763011,-3.042913,-5.583905,2026-06-02,0.067795,6.314387,61.11
13:00,0,B30,none,4000,taker,383,0.090626,0.458993,-0.072917,0.242165,-2.719955,-12.098571,2025-11-21,0.067534,25.184545,40.73
13:00,0,A200,none,4000,taker,383,0.088534,0.449912,-0.070871,0.241166,-2.772920,-9.614891,2025-11-21,0.067451,27.163941,39.95
15:00,0,B40,none,1500,maker,386,0.061492,0.358432,-0.049889,0.168427,-1.977219,-5.896636,2026-02-27,0.067318,24.674762,10.36
13:00,0,A150,none,OFF,taker,386,0.079768,0.466962,-0.061280,0.214090,-2.634821,-6.636569,2025-10-01,0.067157,25.869108,0.00
15:00,0,B20,none,4000,taker,376,0.054028,0.314831,-0.042061,0.143079,-1.828584,-6.448632,2026-02-27,0.067048,23.510647,40.69
15:00,0,B20,none,OFF,maker,386,0.054382,0.332094,-0.044148,0.147172,-1.910209,-6.459972,2026-02-27,0.064472,20.517840,0.00
