arm,basket_id,entry_ts_ist,exit_ts_ist,hold_hours,entry_spot,exit_spot,atm_strike,short_call_strike,short_put_strike,prot_call_strike,prot_put_strike,prot_call_otm_pts,prot_put_otm_pts,exact_strike_available,strike_gap_pts,qty_short,qty_protection,protection_ratio,short_dte,short_call_symbol,short_call_side,short_call_qty,short_call_entry_mark,short_call_entry_fill,short_call_entry_slip_pct,short_call_entry_fee,short_call_exit_mark,short_call_exit_fill,short_call_exit_fee,short_call_expired_flag,short_call_leg_pnl_usd,short_put_symbol,short_put_side,short_put_qty,short_put_entry_mark,short_put_entry_fill,short_put_entry_slip_pct,short_put_entry_fee,short_put_exit_mark,short_put_exit_fill,short_put_exit_fee,short_put_expired_flag,short_put_leg_pnl_usd,prot_call_symbol,prot_call_side,prot_call_qty,prot_call_entry_mark,prot_call_entry_fill,prot_call_entry_slip_pct,prot_call_entry_fee,prot_call_exit_mark,prot_call_exit_fill,prot_call_exit_fee,prot_call_expired_flag,prot_call_leg_pnl_usd,prot_put_symbol,prot_put_side,prot_put_qty,prot_put_entry_mark,prot_put_entry_fill,prot_put_entry_slip_pct,prot_put_entry_fee,prot_put_exit_mark,prot_put_exit_fill,prot_put_exit_fee,prot_put_expired_flag,prot_put_leg_pnl_usd,short_credit,long_debit,net_credit,entry_drag,target_pct,target_usd,target_usd_absolute,stop_usd,stop_usd_absolute,short_premium_entry_points,mae_usd,net_theta_entry,shorts_pnl,protection_pnl,gross_usd,fees_usd,slippage_usd,net_usd,exit_reason,entry_mode,entry_time_ist,vwap_mid_at_entry,swing_high,swing_low,swing_high_vwap,swing_low_vwap,bars_since_day_reset,signals_found_today,signal_rank_used
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,10,2025-11-10 09:00:00,2025-11-10 17:27:00,8.45,105952.0,106107.0,106000.0,107600.0,104400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-107600-111125,sell,100,528.98535204,525.0826328870882,0.7377745220848071,1.2502336,357.7027118,360.3417512724668,1.2520626000000001,0,16.474088161462134,P-BTC-104400-111125,sell,100,499.47450453,495.7895088912683,0.7377745220848071,1.2502336,260.91471862,264.01593708771793,1.0903858201722751,0,23.177357180355042,,,0,,,,,,,,0,,,,0,,,,,,,,0,,102.08721417783565,0,102.08721417783565,-3.2592386791643464,40.0,40.83488567113426,40.83488567113426,-10.0,-10.0,1028.4598565699998,-0.18906109100000235,72.02093312277627,39.65144534181718,0.0,39.65144534181718,4.842915620172276,1.3327972731828255,34.8085297216449,TARGET,fixed,2025-11-10 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,11,2025-11-11 09:00:00,2025-11-11 10:45:00,1.75,106677.0,105261.0,106600.0,108800.0,104400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-108800-121125,sell,100,282.89323684,279.53078287373506,1.188594681097551,1.1544621332685259,97.81514338,103.35503416902537,0.4268562911180748,0,17.61757487047097,P-BTC-104400-121125,sell,100,276.22224003,272.93907717699494,1.188594681097551,1.1272383887409894,577.98478323,582.249007702198,1.2420798,0,-30.930993052520307,,,0,,,,,,,,0,,,,0,,,,,,,,0,,55.246986005073005,0,55.246986005073005,-2.9462622039365156,40.0,22.098794402029203,22.098794402029203,-10.0,-10.0,559.1154768700001,-11.668444973999993,52.50441348702021,-13.313418182049336,0.0,-13.313418182049336,3.9506366131275903,1.6449732080493447,-17.264054795176925,STOPLOSS,fixed,2025-11-11 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,12,2025-11-12 09:00:00,2025-11-12 14:41:00,5.683333333333334,103278.0,104833.5,103200.0,105200.0,101200.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-105200-131125,sell,100,299.49902707,295.93919756430705,1.188594681097551,1.2186804000000002,700.90092093,705.3056466054292,1.2370353,0,-40.936644904112214,P-BTC-101200-131125,sell,100,299.4470022,295.8877910591447,1.188594681097551,1.2186804000000002,79.5088341,84.01192270628628,0.3469692407769624,0,21.187586835285845,,,0,,,,,,,,0,,,,0,,,,,,,,0,,59.18269886234518,0,59.18269886234518,-3.1492648646548234,40.0,23.673079544938073,23.673079544938073,-10.0,-10.0,598.94602927,-18.146372575999997,53.37981140144565,-19.74905806882637,0.0,-19.74905806882637,4.0213653407769625,1.602685492826369,-23.770423409603332,STOPLOSS,fixed,2025-11-12 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,13,2025-11-13 09:00:00,2025-11-13 11:53:00,2.8833333333333333,102395.0,103571.0,102400.0,104200.0,100500.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104200-141125,sell,100,420.91423837,417.80884035947884,0.7377745220848071,1.208261,749.89945721,754.6121081632625,1.2221378,0,-33.68032678037837,P-BTC-100500-141125,sell,100,424.91308921,421.7781886968051,0.7377745220848071,1.208261,210.06859935,212.56546354853023,0.87789536445543,0,20.92127251482749,,,0,,,,,,,,0,,,,0,,,,,,,,0,,83.9587029056284,0,83.9587029056284,-3.0405518523716095,40.0,33.58348116225136,33.58348116225136,-10.0,-10.0,845.82732758,-11.414072897999997,65.87969791645708,-12.759054265550883,0.0,-12.759054265550883,4.51655516445543,1.3449813675508808,-17.275609430006313,STOPLOSS,fixed,2025-11-13 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,14,2025-11-14 09:00:00,2025-11-14 10:04:00,1.0666666666666667,99264.5,97799.0,99200.0,100800.0,97600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-100800-151125,sell,100,586.03340363,581.7097984871114,0.7377745220848071,1.1713211000000001,237.30808729,240.12871859334328,0.9917316077905077,0,34.15810798937681,P-BTC-97600-151125,sell,100,585.39457697,581.0756849274492,0.7377745220848071,1.1713211000000001,1144.38471176,1150.8859518918007,1.1540282,0,-56.98102669643515,,,0,,,,,,,,0,,,,0,,,,,,,,0,,116.27854834145606,0,116.27854834145606,-3.206891918543943,40.0,46.51141933658243,46.51141933658243,-10.0,-10.0,1171.4279806,-21.02648184500001,78.83416564572912,-22.822918707058342,0.0,-22.822918707058342,4.4884020077905085,1.7964368620583315,-27.31132071484885,STOPLOSS,fixed,2025-11-14 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,15,2025-11-15 09:00:00,2025-11-15 12:54:00,3.9,96635.5,96234.0,96600.0,98800.0,94200.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-98800-161125,sell,100,78.90771232,74.43866904552054,5.6636330506653465,0.30743170315799984,27.62621054,29.190857730789833,0.12055824242816202,0,4.5247811314730715,P-BTC-94200-161125,sell,100,75.46824852,71.19400385406301,5.6636330506653465,0.29403123591728025,63.24383994,66.82573896135173,0.2759903019103827,0,0.4368264892711281,,,0,,,,,,,,0,,,,0,,,,,,,,0,,14.563267289958356,0,14.563267289958356,-1.4757917331169252,40.0,5.825306915983343,5.825306915983343,-10.0,-10.0,154.37596084,-1.2217474670000004,21.714172553676853,4.9616076207442,0.0,4.9616076207442,0.998011483413825,1.3889834152558016,3.963596137330375,TARGET,fixed,2025-11-15 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,16,2025-11-16 09:00:00,2025-11-16 15:29:00,6.483333333333333,95774.0,96608.0,95800.0,97800.0,93600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-97800-171125,sell,100,282.13701028,278.7835447824043,1.188594681097551,1.1301332,512.1883192,515.9671141241521,1.1399744,0,-23.71835693417478,P-BTC-93600-171125,sell,100,283.49672518,280.1270981834248,1.188594681097551,1.1301332,160.58332896,162.49201386674793,0.671092017269669,0,11.763508431667686,,,0,,,,,,,,0,,,,0,,,,,,,,0,,55.89106429658291,0,55.89106429658291,-2.9325756494170943,40.0,22.356425718633165,22.356425718633165,-10.0,-10.0,565.63373546,-10.71379127,52.14820488879979,-11.954848502507092,0.0,-11.954848502507092,4.071332817269669,1.2410572325070945,-16.02618131977676,STOPLOSS,fixed,2025-11-16 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,17,2025-11-17 09:00:00,2025-11-17 16:28:00,7.466666666666667,95469.0,95599.0,95400.0,97000.0,93800.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-97000-181125,sell,100,599.62345103,595.1995819798549,0.7377745220848071,1.1265342,385.82068217,388.66716886398405,1.1280682,0,20.653241311587085,P-BTC-93800-181125,sell,100,595.09739124,590.7069143058399,0.7377745220848071,1.1265342,334.03147045,336.49586953472533,1.1280682,0,25.421104477111456,,,0,,,,,,,,0,,,,0,,,,,,,,0,,118.59064962856948,0,118.59064962856948,-3.134502998430519,40.0,47.43625985142779,47.43625985142779,-10.0,-10.0,1194.72084227,0.0,79.92252815151882,46.07434578869854,0.0,46.07434578869854,4.5092048,1.4125231763014596,41.56514098869854,TARGET,fixed,2025-11-17 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,18,2025-11-18 09:00:00,2025-11-18 17:29:00,8.483333333333333,89781.0,91454.0,89800.0,91400.0,89200.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-91400-191125,sell,100,664.12888372,659.9552473920094,0.6284377069421756,1.0594158,1098.16469578,1104.403360381305,1.0794876,0,-44.444811298929565,P-BTC-89200-191125,sell,100,1084.79688674,1078.6341645518644,0.5680991772252945,1.0594158,352.70074614,355.30288238422395,1.0794876,0,72.33312821676405,,,0,,,,,,,,0,,,,0,,,,,,,,0,,173.8589411943874,0,173.8589411943874,-3.152467451612621,40.0,69.54357647775497,69.54357647775497,-10.0,-10.0,1748.92577046,-2.3462152049999987,92.55611546664319,27.888316917834487,0.0,27.888316917834487,4.2778068000000005,1.9177159361655074,23.610510117834487,TIME_CUTOFF,fixed,2025-11-18 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,19,2025-11-19 09:00:00,2025-11-19 10:37:00,1.6166666666666667,92217.0,91031.0,92200.0,94200.0,89800.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-94200-201125,sell,100,385.74966626,382.90370350330653,0.7377745220848071,1.0881606000000001,187.14557212,189.3699744361279,0.7820979944212083,0,19.353372906717865,P-BTC-89800-201125,sell,100,384.6446429,381.8068327241197,0.7377745220848071,1.0881606000000001,687.66608337,691.9876363357496,1.0741658,0,-31.018080361162987,,,0,,,,,,,,0,,,,0,,,,,,,,0,,76.47105362274263,0,76.47105362274263,-2.744698493257379,40.0,30.588421449097055,30.588421449097055,-10.0,-10.0,770.39430916,-10.441734632999998,65.25102012644209,-11.664707454445121,0.0,-11.664707454445121,4.032584994421208,1.2229728214451256,-15.69729244886633,STOPLOSS,fixed,2025-11-19 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,20,2025-11-20 09:00:00,2025-11-20 17:29:00,8.483333333333333,92419.0,91885.5,92400.0,94500.0,90200.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-94500-211125,sell,100,389.10521259,386.23449346740705,0.7377745220848071,1.0905441999999999,259.36110448,262.44385677268514,1.0838931284711897,0,12.379063669472192,P-BTC-90200-211125,sell,100,377.14762007,374.3651210184743,0.7377745220848071,1.0905441999999999,486.3744256,489.96277219401316,1.0844436000000002,0,-11.559765117553884,,,0,,,,,,,,0,,,,0,,,,,,,,0,,76.05996144858814,0,76.05996144858814,-2.7464102174118645,40.0,30.423984579435256,30.423984579435256,-10.0,-10.0,766.25283266,-6.226654854000002,64.59030856739629,0.8192985519183082,0.0,0.8192985519183082,4.349425128471189,1.2324317060816954,-3.530126576552881,TIME_CUTOFF,fixed,2025-11-20 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,21,2025-11-22 09:00:00,2025-11-22 17:29:00,8.483333333333333,84432.0,84118.5,84400.0,86000.0,82400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-86000-231125,sell,100,158.43292725,156.54980190359936,1.188594681097551,0.6465506818618654,56.17965522,59.36146474078976,0.24516284937946176,0,9.718833716280962,P-BTC-82400-231125,sell,100,155.93858662,154.08510887365597,1.188594681097551,0.6363714996481992,154.63410713,156.47207990250988,0.6462296899973657,0,-0.2386971028853907,,,0,,,,,,,,0,,,,0,,,,,,,,0,,31.063491077725534,0,31.063491077725534,-1.656582490784532,40.0,12.425396431090213,12.425396431090213,-10.0,-10.0,314.37151387,-1.4679584680000017,33.16838754115979,9.48013661339557,0.0,9.48013661339557,2.174314720886892,0.8756385386044323,7.305821892508678,TIME_CUTOFF,fixed,2025-11-22 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,22,2025-11-23 09:00:00,2025-11-23 09:49:00,0.8166666666666667,85859.5,86552.0,85800.0,87600.0,83400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-87600-241125,sell,100,351.09636195,348.50606244356624,0.7377745220848071,1.0131421,564.25140623,568.4143093456703,1.0213136,0,-21.990824690210406,P-BTC-83400-241125,sell,100,345.86130692,343.3096303157947,0.7377745220848071,1.0131421,242.08220272,244.9595789054137,1.0116830608793588,0,9.835005141038103,,,0,,,,,,,,0,,,,0,,,,,,,,0,,69.1815692759361,0,69.1815692759361,-2.5404818110639065,40.0,27.672627710374442,27.672627710374442,-10.0,-10.0,696.95766887,-10.937594008000001,59.907204233106775,-12.155819549172303,0.0,-12.155819549172303,4.059280860879359,1.218225541172302,-16.21510041005166,STOPLOSS,fixed,2025-11-23 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,23,2025-11-24 09:00:00,2025-11-24 15:28:00,6.466666666666667,87533.5,85932.5,87600.0,89200.0,85600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-89200-251125,sell,100,537.69619503,533.7292094968492,0.7377745220848071,1.0328953,182.9364095,185.11078193310783,0.7645075293837355,0,34.86184275637414,P-BTC-85600-251125,sell,100,541.24698106,537.2537987321862,0.7377745220848071,1.0328953,1005.91807681,1011.6326891279181,1.0140035,0,-47.43788903957319,,,0,,,,,,,,0,,,,0,,,,,,,,0,,107.09830082290355,0,107.09830082290355,-2.8618073860964706,40.0,42.839320329161424,42.839320329161424,-10.0,-10.0,1078.9431760900002,-10.991131021999992,77.16294045403444,-12.576046283199055,0.0,-12.576046283199055,3.844301629383736,1.5849152611990607,-16.42034791258279,STOPLOSS,fixed,2025-11-24 09:00:00,,,,,,0,0,0
q100_pr0_tp40_dd10_off2000_po0_cut1729_sdte1_emfixed_e0900,24,2025-11-25 09:00:00,2025-11-25 17:29:00,8.483333333333333,87864.5,87325.5,87800.0,89600.0,86000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-89600-261125,sell,100,401.3230229,398.3621638857832,0.7377745220848071,1.0368011000000001,191.79200799,194.07163759573933,0.8015158632704035,0,20.42905262900439,P-BTC-86000-261125,sell,100,402.68169555,399.71081259513295,0.7377745220848071,1.0368011000000001,411.28659035,414.3209580263536,1.030376,0,-1.4610145431220645,,,0,,,,,,,,0,,,,0,,,,,,,,0,,79.80729764809162,0,79.80729764809162,-2.666776396908382,40.0,31.922919059236648,31.922919059236648,-10.0,-10.0,804.0047184499999,-2.0765610419999945,63.080333774362195,18.968038085882323,0.0,18.968038085882323,3.9054940632704036,1.1245739251176758,15.06254402261192,TIME_CUTOFF,fixed,2025-11-25 09:00:00,,,,,,0,0,0
