ts,ts_ist,leg,old_strike,new_strike,old_exit_premium,new_entry_premium,trigger_pct,fee,slippage,other_short_premium,new_net_credit,new_target_usd,basket_id,arm,entry_date
1770551460,2026-02-08 17:21:00,short_call,71200.0,74800.0,908.06179321,70.39481861,250.0,1.1137815864606346,0.9145595788675054,92.64268471,37.269479458822346,7.4538958917644695,68,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-08
1772165760,2026-02-27 09:46:00,short_call,69000.0,71600.0,381.22804491,57.30349323,250.0,1.027718778967231,0.6058062968148108,68.34122577,17.92756213676141,3.585512427352282,83,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-27
1772610420,2026-03-04 13:17:00,short_call,69600.0,72800.0,838.73178074,104.99432874,250.0,1.2474869152578776,0.6518863777135578,119.37542693,25.659175675524576,5.131835135104915,88,q100_pm2_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-03-04
1762069860,2025-11-02 13:21:00,short_call,111600.0,113600.0,536.44602582,130.90206374,200.0,1.84208217703224,0.5513657070297087,148.25218952,34.332786094795736,6.866557218959148,2,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-11-02
1762687200,2025-11-09 16:50:00,short_call,103400.0,104600.0,494.3708011,223.26120248,200.0,2.117629605930781,0.6301012592774129,225.14094805,37.83469992531197,7.566939985062395,8,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-11-09
1765099440,2025-12-07 14:54:00,short_put,87600.0,86800.0,427.79382435,266.93037419,200.0,2.1025948000000003,0.632887407296272,275.98078173,43.04982851072696,8.609965702145393,25,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-07
1765705140,2025-12-14 15:09:00,short_put,87600.0,87200.0,209.74174333,163.30459903,200.0,1.5429609450811501,0.4434008983319927,173.48788201,25.968224627016717,5.193644925403344,31,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-14
1765949100,2025-12-17 10:55:00,short_put,85000.0,82000.0,372.6095124,61.62943978,200.0,1.2577105645184785,0.6239483369671639,69.00539236,20.254693336268296,4.05093866725366,33,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-17
1767082500,2025-12-30 13:45:00,short_call,89600.0,91200.0,211.59968871,51.95184458,200.0,1.086703086813023,0.5457424485289217,54.32755084,11.211807474971922,2.2423614949943844,44,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2025-12-30
1768122960,2026-01-11 14:46:00,short_call,92800.0,93200.0,84.34764302,53.88141405,200.0,0.578012301755766,0.7828786561839594,58.12002952,8.9471489544619,1.7894297908923802,51,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-01-11
1770539640,2026-02-08 14:04:00,short_call,71200.0,74000.0,783.65335463,140.3815717,200.0,1.4070385057168497,0.6593341066679671,146.69359742,43.5529227471064,8.71058454942128,67,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-08
1771566420,2026-02-20 11:17:00,short_call,69200.0,70400.0,277.23363259,96.78585852,200.0,1.179203404738268,0.8776780082687182,126.35032519,20.739910574506002,4.1479821149012,77,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-20
1772165520,2026-02-27 09:42:00,short_call,69000.0,70800.0,310.38021199,73.61717237,200.0,1.088434573021159,0.6459312630967631,82.2375444,17.45582199524603,3.491164399049206,82,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-02-27
1772357880,2026-03-01 15:08:00,short_put,65400.0,61200.0,548.43197434,74.07316811,200.0,1.0706821743552908,0.82414238084001,93.05937029,18.1001862010338,3.62003724020676,84,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-01
1774504860,2026-03-26 11:31:00,short_put,69000.0,66500.0,525.28400193,128.37493865,200.0,1.3479515043538302,0.5401269227483128,143.64641377,23.216561079079874,4.643312215815975,105,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr200,2026-03-26
1772165760,2026-02-27 09:46:00,short_call,69000.0,71600.0,381.22804491,57.30349323,250.0,1.027718778967231,0.6058062968148108,68.34122577,15.916848773601284,3.183369754720257,82,q100_pm3_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adja_tr250,2026-02-27
